female,race_white,race_black,race_hisp,race_asian,educ,age,income,region,dem,rep,ideology,interest_pol,conf_wh,conf_cong,conf_sc,conf_mil,conf_crim,conf_med,conf_wh_w2,conf_cong_w2,conf_sc_w2,conf_mil_w2,conf_crim_w2,conf_med_w2,news_nat,fake_news,fox_news,breit_news,tot_news,fake_exp,conf_gov,conf_gov_w2,weight
1,1,0,0,0,4,54,4,3,0,1,5,4,5,4,4,5,4,2,5,4,4,5,4,3,4,1,0,0,6.935370446,Exposed,4.4,4.4,0.4
1,1,0,0,0,3,65,13,1,0,0,2,5,1,2,1,4,2,1,1,2,2,4,3,1,4,1,1,0,6.381816017,Not exposed,2,2.4,1.173966645
0,1,0,0,0,3,88,7,3,0,1,5,4,4,2,3,4,3,3,4,2,4,5,3,3,4,1,1,1,4.158883083,Exposed,3.2,3.6,0.865845165
0,0,1,0,0,6,78,2,3,1,0,1,5,1,2,3,5,1,1,1,2,3,4,1,2,4,0,0,0,5.420534999,Not exposed,2.4,2.2,0.624605333
1,0,1,0,0,2,66,9,1,1,0,2,5,1,1,2,3,2,2,1,4,3,2,3,1,4,1,0,0,7.407924323,Exposed,1.8,2.6,4
1,0,0,0,0,3,32,6,1,0,0,1,5,2,2,2,3,2,4,4,3,2,2,2,4,4,1,1,0,6.7310181,Exposed,2.2,2.6,0.4
1,1,0,0,0,3,21,3,4,0,0,4,2,2,3,1,4,2,4,2,3,2,4,3,4,1,0,1,0,5.659482216,Exposed,2.4,2.8,1.179430663
0,1,0,0,0,2,64,3,2,0,0,3,4,3,3,4,4,3,2,3,3,4,4,3,2,3,0,0,0,5.332718793,Not exposed,3.4,3.4,1.5232744
0,1,0,0,0,2,52,3,2,0,1,3,1,3,3,3,4,3,3,3,3,4,5,4,3,1,0,0,0,4.025351691,Not exposed,3.2,3.8,1.5232744
1,1,0,0,0,5,57,6,2,0,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,5.407171771,Exposed,3,3,0.52441144
0,1,0,0,0,6,84,9,4,1,0,1,5,2,2,2,2,3,1,1,2,3,4,4,1,4,1,0,0,7.217443432,Not exposed,2.2,2.8,0.898553283
1,0,1,0,0,3,64,2,3,1,0,2,5,1,1,2,3,2,2,1,1,3,3,1,2,4,1,1,0,8.637993892,Exposed,1.8,1.8,0.752821553
0,0,1,0,0,5,68,2,2,0,0,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,1,0,0,5.049856007,Not exposed,2.2,2.2,1.484576257
